name,description
Calcifediol,Calcifediol is a vitamin D analog used to treat secondary hyperparathyroidism in patients with chronic kidney disease on dialysis. It helps regulate calcium and phosphate levels.
Camazepam,A benzodiazepine derivative used for the short-term treatment of anxiety disorders.
Candesartan Cilexetil,An angiotensin II receptor blocker (ARB) prodrug used to treat hypertension and heart failure.
Cangrelor,An intravenous direct-acting P2Y12 platelet inhibitor used to reduce thrombotic events in patients undergoing percutaneous coronary intervention.
Cannabidiol,A non-psychoactive cannabinoid used to treat seizures associated with specific epilepsy syndromes like Lennox-Gastaut syndrome and Dravet syndrome.
Canrenoic Acid,"An active metabolite of spironolactone and an aldosterone antagonist, used to manage conditions associated with excessive aldosterone such as ascites and edema."
Captodiame,A non-benzodiazepine anxiolytic and muscle relaxant used to alleviate anxiety and muscle tension.
Carbamoylcholine,A cholinergic agonist used topically to induce miosis during ophthalmic surgery or to reduce intraocular pressure in glaucoma.
Carbinoxamine,"An antihistamine used to relieve symptoms of allergic rhinitis, such as sneezing, runny nose, and itchy eyes."
Carboprost Tromethamine,A prostaglandin analog used to induce abortion in the second trimester and to control refractory postpartum hemorrhage.
Carprofen,A non-steroidal anti-inflammatory drug (NSAID) primarily used in veterinary medicine for pain and inflammation relief in dogs.
Carteolol,"A non-selective beta-adrenergic blocker used topically to reduce intraocular pressure in glaucoma and ocular hypertension. Systemically, it treats hypertension and angina pectoris."
Cation,"A general chemical term referring to a positively charged ion, not a specific pharmaceutical composition with direct clinical use."
Cefacetrile,A first-generation cephalosporin antibiotic used to treat a wide range of bacterial infections susceptible to its action.
Cefaloridine,"A first-generation cephalosporin antibiotic used for treating bacterial infections, active against susceptible Gram-positive and some Gram-negative bacteria."
Cefalotin,"A first-generation cephalosporin antibiotic used to treat various bacterial infections, including those of the respiratory tract, skin, and urinary tract."
Cefamandole,"A second-generation cephalosporin antibiotic used to treat bacterial infections of the respiratory tract, urinary tract, skin, and bones."
Cefapirin,"A first-generation cephalosporin antibiotic used for treating susceptible bacterial infections, including skin and soft tissue, respiratory, and urinary tract infections, and for surgical prophylaxis."
Cefmenoxime,"A third-generation cephalosporin antibiotic used to treat serious bacterial infections such as lower respiratory tract, urinary tract, and intra-abdominal infections."
Cefmetazole,"A cephamycin antibiotic effective against aerobic and anaerobic bacteria, primarily used for surgical prophylaxis and treatment of intra-abdominal and gynecological infections."
Cefonicid,"A second-generation cephalosporin antibiotic used to treat bacterial infections of the lower respiratory tract, urinary tract, skin and soft tissue, and bone and joint, and for surgical prophylaxis."
Ceforanide,"Ceforanide is a second-generation cephalosporin antibiotic used to treat bacterial infections, including those of the respiratory tract, urinary tract, and skin, and for surgical prophylaxis."
Cefotetan,"Cefotetan is a second-generation cephamycin antibiotic effective against a broad spectrum of bacteria, including anaerobes, used for surgical prophylaxis and treating intra-abdominal and gynecological infections."
Cefotiam,"Cefotiam is a third-generation cephalosporin antibiotic used to treat various bacterial infections, such as those affecting the respiratory and urinary tracts, skin, and soft tissues."
Cefoxitin,"Cefoxitin is a second-generation cephamycin antibiotic effective against a wide range of bacteria, including anaerobes, used for surgical prophylaxis and the treatment of intra-abdominal and gynecological infections."
Cefpiramide,"Cefpiramide is a third-generation cephalosporin antibiotic used to treat serious bacterial infections, including septicemia, pneumonia, and complicated urinary tract infections."
Cefpodoxime,"Cefpodoxime is a third-generation cephalosporin antibiotic used to treat bacterial infections of the respiratory tract, urinary tract, and skin."
Cefradine,"Cefradine is a first-generation cephalosporin antibiotic effective against various Gram-positive and some Gram-negative bacterial infections, including those of the respiratory and urinary tracts."
Ceftobiprole,"Ceftobiprole is a fifth-generation cephalosporin antibiotic with activity against methicillin-resistant Staphylococcus aureus (MRSA) and Pseudomonas aeruginosa, used for complicated skin and soft tissue infections."
Cephaloglycin,"Cephaloglycin is an oral first-generation cephalosporin antibiotic, historically used for treating urinary tract infections."
Cerulenin,Cerulenin is an antifungal antibiotic that inhibits fatty acid synthesis. It is investigated for its antimicrobial properties and potential as an anticancer agent.
Cevimeline,A muscarinic agonist used to treat symptoms of dry mouth (xerostomia) in patients with Sj�gren's syndrome by increasing saliva secretion.
Chenodeoxycholic Acid,A primary bile acid used to dissolve cholesterol gallstones or to treat specific liver disorders like primary biliary cholangitis.
Chloral,"A compound known for its hypnotic and sedative properties, historically used to induce sleep or calm agitation."
Chloropyramine,"A first-generation antihistamine used to relieve symptoms of allergic reactions such as rhinitis, urticaria, and conjunctivitis."
Chlorothiazide,A thiazide diuretic used to treat hypertension and edema by increasing the excretion of sodium and water from the body.
Chloroxine,"An antimicrobial agent primarily used topically to treat skin infections, including those caused by fungi and bacteria. It functions as an antiseptic and antifungal."
Chloroxylenol,"A broad-spectrum antimicrobial compound used as an antiseptic and disinfectant. It is commonly found in surgical scrubs, skin cleansers, and household disinfectants."
Chlorphenesin,"An antifungal and antibacterial agent, often used as a preservative in cosmetics and topical medications. It also has muscle relaxant properties, though less commonly used systemically for this purpose."
Chlorprothixene,A typical antipsychotic medication used to manage psychotic disorders such as schizophrenia and the manic phase of bipolar disorder. It helps reduce symptoms like hallucinations and delusions.
Chlortetracycline,"A broad-spectrum tetracycline antibiotic used to treat various bacterial infections. It inhibits bacterial protein synthesis, making it effective against a range of gram-positive and gram-negative bacteria."
Cholecalciferol,"Used to treat or prevent vitamin D deficiency, osteomalacia, and rickets. It aids in the absorption of calcium and phosphorus for bone health."
Cholic Acid,Used to treat bile acid synthesis disorders due to single enzyme defects and peroxisomal disorders by replacing deficient primary bile acids.
Choline Trisalicylate,"A nonsteroidal anti-inflammatory drug (NSAID) used to relieve mild to moderate pain, fever, and inflammation, often associated with arthritis."
Cidofovir,An antiviral medication primarily used for the treatment of cytomegalovirus (CMV) retinitis in patients with AIDS.
Cilazapril,An ACE inhibitor used to treat essential hypertension (high blood pressure) and congestive heart failure.
Cinchocaine,"A local anesthetic used topically to relieve pain, itching, and discomfort caused by conditions such as hemorrhoids or minor skin irritations."
Cinoxacin,A quinolone antibiotic primarily used to treat acute and chronic urinary tract infections caused by susceptible bacteria.
Clenbuterol,A beta-2 adrenergic agonist used as a bronchodilator to treat respiratory conditions like asthma and chronic obstructive pulmonary disease (COPD).
Clevidipine,An intravenous dihydropyridine calcium channel blocker used for the rapid reduction of blood pressure in hypertensive emergencies.
Clocortolone,"A topical corticosteroid used to reduce inflammation, itching, and redness associated with various skin conditions such as eczema and dermatitis."
Clodronic Acid,"A bisphosphonate used to inhibit bone resorption, primarily in the management of hypercalcemia of malignancy and osteolytic bone metastases."
Clofibrate,"A fibric acid derivative used to lower elevated serum triglyceride and cholesterol levels, particularly in hyperlipidemias."
Clomifene,"A selective estrogen receptor modulator (SERM) used to induce ovulation in anovulatory women with intact hypothalamic-pituitary function, often for fertility treatment."
Clomocycline,"A tetracycline antibiotic used to treat a wide range of bacterial infections, including those of the respiratory, urinary, and gastrointestinal tracts."
Clonixin,A non-steroidal anti-inflammatory drug (NSAID) primarily used for its analgesic and anti-inflammatory effects in the treatment of various pain conditions.
Clorazepic Acid,"A benzodiazepine anxiolytic used to treat anxiety disorders, acute alcohol withdrawal, and as an adjunctive treatment for partial seizures."
Clotiazepam,"A thienodiazepine with anxiolytic, sedative, and muscle relaxant properties, primarily used for anxiety disorders and insomnia."
Cloxazolam,A benzodiazepine derivative used for the short-term treatment of anxiety disorders and psychosomatic illnesses with associated anxiety.
Cobicistat,"A pharmacokinetic enhancer that inhibits CYP3A, used to boost the plasma levels of co-administered antiretroviral drugs in HIV treatment."
Cobimetinib,A MEK inhibitor used in combination with other agents for the treatment of BRAF V600 mutation-positive unresectable or metastatic melanoma.
Cocaine,"A potent local anesthetic and vasoconstrictor, sometimes used topically for anesthesia of mucous membranes in diagnostic or surgical procedures of the nose, throat, and larynx."
Colistin,"A polymyxin antibiotic used to treat severe infections caused by multi-drug resistant Gram-negative bacteria, including Pseudomonas aeruginosa and Acinetobacter baumannii."
Copanlisib,A phosphoinositide 3-kinase (PI3K) inhibitor used for the treatment of adult patients with relapsed follicular lymphoma who have received at least two prior systemic therapies.
Corticorelin Ovine Triflutate,A synthetic ovine corticotropin-releasing hormone (CRH) used as a diagnostic agent to differentiate between pituitary-dependent Cushing's disease and ectopic ACTH syndrome.
Cortisone Acetate,"A synthetic corticosteroid with anti-inflammatory and immunosuppressive properties, used in the treatment of adrenal insufficiency and various inflammatory or allergic conditions."
Crisaborole,Crisaborole is a non-steroidal phosphodiesterase-4 inhibitor applied topically for the treatment of mild to moderate atopic dermatitis.
Cyamemazine,"Cyamemazine is a phenothiazine antipsychotic with sedative and anxiolytic properties, used to manage psychomotor agitation and certain psychotic disorders."
Cyclacillin,"Cyclacillin is an aminopenicillin antibiotic used to treat bacterial infections, particularly those of the respiratory tract, urinary tract, and skin."
Cyclizine,"Cyclizine is an antihistamine with antiemetic properties, used for the prevention and treatment of nausea, vomiting, and dizziness, especially from motion sickness."
Cyclosporine,Cyclosporine is an immunosuppressant calcineurin inhibitor used to prevent organ rejection in transplant recipients and to treat certain autoimmune conditions.
Cyclothiazide,A thiazide diuretic used to manage hypertension and fluid retention (edema) associated with various conditions.
Cyproterone Acetate,"An antiandrogen and progestogen used to treat androgen-dependent conditions such as prostate cancer, severe hirsutism, and acne."
Cysteamine,An aminothiol used to reduce cystine accumulation in various organs in patients with nephropathic cystinosis.
Dabrafenib,"A BRAF kinase inhibitor used to treat specific cancers, including melanoma and non-small cell lung cancer, that have a BRAF V600E mutation."
Dalfopristin,A streptogramin antibiotic component typically used in combination with quinupristin to treat serious infections caused by multidrug-resistant Gram-positive bacteria.
Dantrolene,A direct-acting skeletal muscle relaxant used to treat spasticity associated with neurological disorders and as a specific antidote for malignant hyperthermia.
Dapiprazole,An alpha-1 adrenergic antagonist used topically to reverse pharmacologically induced mydriasis following ophthalmic examination.
Dasabuvir,A non-nucleoside NS5B polymerase inhibitor used in combination with other direct-acting antivirals to treat chronic hepatitis C virus genotype 1 infection.
Debrisoquine,"An adrenergic neuron blocking antihypertensive agent, primarily used as a probe drug for assessing cytochrome P450 2D6 metabolic capacity."
Decamethonium,"A depolarizing neuromuscular blocking agent used to induce skeletal muscle relaxation, often for surgical procedures or mechanical ventilation."
Delafloxacin,A fluoroquinolone antibacterial agent used for the treatment of acute bacterial skin and skin structure infections (ABSSSI).
Delavirdine,A non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with other antiretroviral agents for the treatment of HIV-1 infection.
Delorazepam,"A benzodiazepine derivative with anxiolytic, sedative, and hypnotic properties, used for the short-term treatment of anxiety or insomnia."
Demecarium,A long-acting cholinesterase inhibitor used topically to treat glaucoma by reducing intraocular pressure and in the management of accommodative esotropia.
Deoxycholic Acid,"A cytolytic agent, administered by injection, used to improve the appearance of submental fullness (double chin) by destroying fat cells."
Deserpidine,"An antihypertensive and antipsychotic agent, used to treat mild to moderate hypertension and for symptomatic relief of severe neuropsychiatric conditions."
Desflurane,A volatile inhaled anesthetic used for induction and maintenance of general anesthesia during surgical procedures.
Desipramine,A tricyclic antidepressant used to treat major depressive disorder. It can also be used for neuropathic pain and attention deficit hyperactivity disorder.
Deslanoside,A cardiac glycoside used for rapid digitalization in congestive heart failure and atrial fibrillation to improve myocardial contractility.
Deutetrabenazine,A VMAT2 inhibitor used to treat chorea associated with Huntington's disease and tardive dyskinesia.
Dexbrompheniramine,"An antihistamine used to relieve symptoms of allergies, hay fever, and the common cold, such as sneezing, runny nose, and itchy eyes."
Dexchlorpheniramine Maleate,"An antihistamine used to treat symptoms of allergic reactions, including sneezing, runny nose, watery eyes, and itching."
Dexfenfluramine,A serotonin-releasing agent previously used as an appetite suppressant for the management of obesity.
Dexmethylphenidate,"A central nervous system stimulant used in the treatment of attention-deficit/hyperactivity disorder (ADHD) and narcolepsy, to improve focus and reduce impulsivity."
Dexrazoxane,"A cardioprotective agent used to reduce the incidence and severity of cardiotoxicity associated with doxorubicin chemotherapy, and to treat anthracycline extravasation."
Dextroamphetamine,A central nervous system stimulant used in the treatment of attention deficit hyperactivity disorder (ADHD) and narcolepsy.
Dezocine,An opioid analgesic primarily used for the management of moderate to severe pain.
Di Phosphate,"Refers to inorganic phosphate anions (e.g., HPO4^2-, H2PO4^-) commonly formulated as salts in pharmaceutical preparations for buffering or as a source of phosphate."
Diamorphine,"A potent opioid analgesic used for the relief of severe pain, particularly in palliative care."
Diclofenamide,A carbonic anhydrase inhibitor used as a diuretic and in the treatment of glaucoma to reduce intraocular pressure.
Dicoumarol,"Dicoumarol is an oral anticoagulant that inhibits vitamin K-dependent clotting factor synthesis, used to prevent and treat thromboembolic disorders."
Dienestrol,Dienestrol is a synthetic nonsteroidal estrogen used topically for the treatment of atrophic vaginitis associated with estrogen deficiency.
Diethylpropion,Diethylpropion is a sympathomimetic amine used as an appetite suppressant for the short-term management of exogenous obesity.
Diethylstilbestrol,"Diethylstilbestrol is a synthetic nonsteroidal estrogen historically used to treat certain hormone-dependent cancers, but its use is now highly restricted due to safety concerns."
Difenoxin,Difenoxin is an opioid derivative used in combination with atropine as an antidiarrheal agent to reduce gastrointestinal motility.
Diflorasone,"A high-potency topical corticosteroid used to reduce inflammation, itching, and redness in various skin conditions such as psoriasis and eczema."
Diflunisal,A non-steroidal anti-inflammatory drug (NSAID) used for pain relief and to reduce inflammation in conditions like osteoarthritis and rheumatoid arthritis.
Difluocortolone,"A potent topical corticosteroid used to treat inflammatory skin conditions, including severe eczema and psoriasis, by reducing inflammation and itching."
Digitoxin,A cardiac glycoside used in the treatment of heart failure to improve cardiac contractility and in certain arrhythmias to control ventricular rate.
Dihydrocodeine,An opioid analgesic used for the relief of moderate to severe pain. It is also used as an antitussive to suppress cough.
Dihydroergotamine,An ergot alkaloid derivative primarily used for the acute treatment of migraine attacks and cluster headaches by constricting blood vessels.
Dihydrotachysterol,"A synthetic vitamin D analog used to treat hypocalcemia due to hypoparathyroidism and pseudohypoparathyroidism, helping to regulate calcium and phosphate levels."
Dimetacrine,"A tricyclic antidepressant with anxiolytic properties, historically used in the management of depressive disorders."
Dimethyl Sulfoxide,"A solvent with anti-inflammatory and analgesic properties, used topically for pain relief and as an intravesical solution for interstitial cystitis."
Dimetindene,"An antihistamine with anticholinergic properties, used to relieve symptoms of allergic rhinitis, such as sneezing and runny nose, and various itchy skin conditions like urticaria."
Dimetotiazine,"A phenothiazine derivative with antihistaminic and antiemetic properties, used to treat allergic reactions and nausea/vomiting."
Dinoprost Tromethamine,"A prostaglandin F2 alpha analogue used to induce labor, ripen the cervix, or induce therapeutic abortion."
Dipivefrin,A prodrug of epinephrine used as an ophthalmic solution to reduce intraocular pressure in open-angle glaucoma and ocular hypertension.
Dirithromycin,"A macrolide antibiotic used to treat bacterial infections, particularly those affecting the respiratory tract and skin."
Ditazole,"A non-steroidal anti-inflammatory drug (NSAID) that also exhibits antiplatelet activity, used for its anti-inflammatory effects and to inhibit blood clotting."
Doconexent,"An omega-3 fatty acid, also known as DHA, used as a nutritional supplement for supporting cognitive function, eye health, and infant development."
Dofetilide,"A Class III antiarrhythmic agent used to maintain normal sinus rhythm in patients with atrial fibrillation or flutter, or to convert these arrhythmias."
Dolasetron,A 5-HT3 receptor antagonist used for the prevention of chemotherapy-induced nausea and vomiting and postoperative nausea and vomiting.
Dotatate Gallium Ga 68,A radiopharmaceutical agent used for diagnostic imaging (PET scan) to localize somatostatin receptor-positive neuroendocrine tumors.
Doxacurium,A long-acting non-depolarizing neuromuscular blocker used as an adjunct to general anesthesia to facilitate tracheal intubation and provide skeletal muscle relaxation.
Doxercalciferol,A synthetic vitamin D analog used to treat secondary hyperparathyroidism in patients undergoing chronic kidney dialysis.
Dronabinol,A synthetic cannabinoid used to treat anorexia associated with weight loss in AIDS patients and chemotherapy-induced nausea and vomiting refractory to conventional antiemetics.
Droperidol,"A butyrophenone antipsychotic with antiemetic properties, primarily used for the management of postoperative nausea and vomiting and as a tranquilizer for neuroleptanalgesia."
Droxicam,"A non-steroidal anti-inflammatory drug (NSAID) of the oxicam class, used for its anti-inflammatory, analgesic, and antipyretic properties in the treatment of various inflammatory and painful conditions."
Droxidopa,"A synthetic amino acid precursor to norepinephrine, used to treat symptomatic neurogenic orthostatic hypotension (nOH) by increasing systemic blood pressure."
Dyclonine,"A topical anesthetic used to relieve pain and discomfort, particularly in the mouth and throat."
Dyphylline,"A bronchodilator used to relax the smooth muscles of the bronchial airways, improving breathing in conditions like asthma or COPD."
Ecabet,A gastric mucosal protectant used in the treatment of gastric ulcers by promoting protective mechanisms of the gastric mucosa.
Echothiophate,An irreversible cholinesterase inhibitor used as an ophthalmic solution to treat certain types of glaucoma and accommodative esotropia.
Edetic Acid,"A chelating agent used to treat heavy metal poisoning by binding to metal ions, and also as an anticoagulant in blood collection."
Edoxaban,"An anticoagulant that directly inhibits factor Xa, used to prevent and treat venous thromboembolism and to reduce the risk of stroke in patients with nonvalvular atrial fibrillation."
Edrophonium,A short-acting acetylcholinesterase inhibitor used primarily in the diagnosis of myasthenia gravis and to reverse the effects of nondepolarizing neuromuscular blocking agents.
Efinaconazole,A topical antifungal agent used to treat onychomycosis of the toenails by inhibiting fungal ergosterol synthesis.
Elbasvir,"A direct-acting antiviral that inhibits the hepatitis C virus (HCV) NS5A protein, used in combination with other antivirals to treat chronic HCV infection."
Eliglustat,A glucosylceramide synthase inhibitor used as an oral substrate reduction therapy for adults with Gaucher disease type 1.
Eluxadoline,An opioid receptor agonist and antagonist used to treat irritable bowel syndrome with diarrhea (IBS-D) by acting locally in the gut.
Elvitegravir,An integrase strand transfer inhibitor (INSTI) used in combination with other antiretroviral agents to treat HIV-1 infection.
Emedastine,A topical H1 receptor antagonist used as an ophthalmic solution to relieve symptoms of allergic conjunctivitis.
Enasidenib,An isocitrate dehydrogenase-2 (IDH2) inhibitor used to treat relapsed or refractory acute myeloid leukemia (AML) with an IDH2 mutation.
Encainide,"A Class IC antiarrhythmic agent previously used to treat life-threatening ventricular arrhythmias, but its use is limited due to proarrhythmic risks."
Enflurane,A halogenated ether used as an inhaled general anesthetic for the induction and maintenance of anesthesia during surgical procedures.
Enoxacin,"A fluoroquinolone antibiotic used to treat various bacterial infections, primarily those of the urinary tract."
Enviomycin,An aminoglycoside antibiotic used as a second-line agent in the treatment of multidrug-resistant tuberculosis.
Epinephrine,"A potent alpha- and beta-adrenergic agonist used as an emergency treatment for severe allergic reactions (anaphylaxis), cardiac arrest, and acute asthma attacks."
Epirizole,"A nonsteroidal anti-inflammatory drug (NSAID) with anti-inflammatory, analgesic, and antipyretic properties, historically used for pain and inflammation."
Epoprostenol,Epoprostenol is a potent vasodilator and inhibitor of platelet aggregation used to treat primary pulmonary hypertension and to prevent platelet aggregation during renal dialysis.
Equilin,"Equilin is an estrogen found in conjugated estrogen preparations, primarily used in hormone replacement therapy to manage menopausal symptoms and prevent postmenopausal osteoporosis."
Ergocalciferol,"Ergocalciferol (Vitamin D2) is a vitamin D analogue used to treat and prevent vitamin D deficiency, hypoparathyroidism, and certain metabolic bone diseases."
Ergometrine,"Ergometrine is an ergot alkaloid that causes uterine contractions, primarily used to prevent and treat postpartum and post-abortion hemorrhage."
Eribulin,Eribulin is a microtubule dynamics inhibitor used as a chemotherapy agent for the treatment of metastatic breast cancer and unresectable or metastatic liposarcoma.
Erythrityl Tetranitrate,A long-acting nitrate vasodilator used for the prevention and treatment of angina pectoris.
Eslicarbazepine Acetate,An antiepileptic drug indicated for the treatment of partial-onset seizures in adults and children.
Estazolam,A benzodiazepine hypnotic primarily used for the short-term treatment of insomnia.
Estrone,An estrogen used in hormone replacement therapy to alleviate menopausal symptoms and treat estrogen deficiency conditions.
Estrone Sulfate,A conjugated estrogen used for hormone replacement therapy to manage menopausal symptoms and treat certain conditions caused by estrogen deficiency.
Etacrynic Acid,"A potent loop diuretic used to treat edema associated with congestive heart failure, renal impairment, and hepatic cirrhosis, by inhibiting sodium reabsorption in the ascending loop of Henle."
Ethanol,"Used as an antidote for methanol or ethylene glycol poisoning, competing for alcohol dehydrogenase. It also serves as a solvent in many pharmaceutical preparations."
Ethanolamine Oleate,"A sclerosing agent primarily used for the intraluminal treatment of esophageal varices by inducing inflammatory responses and fibrosis, leading to variceal obliteration."
Ethchlorvynol,A sedative-hypnotic agent formerly used for the short-term treatment of insomnia due to its central nervous system depressant effects.
Ethinylestradiol,A synthetic estrogen component widely used in oral contraceptive pills and hormone replacement therapy to prevent ovulation and manage menopausal symptoms.
Ethosuximide,An anticonvulsant medication primarily used in the treatment of absence seizures (petit mal epilepsy). It works by reducing the frequency of abnormal electrical impulses in the brain.
Ethotoin,A hydantoin derivative anticonvulsant used for the management of generalized tonic-clonic seizures and complex partial seizures. It acts to stabilize neuronal membranes and reduce seizure activity.
Ethyl Loflazepate,"A benzodiazepine derivative with anxiolytic, anticonvulsant, sedative, and muscle relaxant properties. It is used in the treatment of anxiety disorders and as an adjunctive treatment for epilepsy."
Ethynodiol Diacetate,A synthetic progestin hormone used in combination with an estrogen as an oral contraceptive to prevent pregnancy. It functions by inhibiting ovulation and altering the cervical mucus and endometrium.
Etidocaine,"A long-acting local anesthetic of the amide type, used for regional nerve blocks, epidural anesthesia, and infiltration anesthesia. It provides prolonged pain relief by blocking nerve impulse conduction."
Etidronic Acid,"A bisphosphonate used to inhibit bone resorption in conditions such as Paget's disease, heterotopic ossification, and hypercalcemia of malignancy."
Etofenamate,A non-steroidal anti-inflammatory drug (NSAID) primarily used topically to relieve pain and inflammation in musculoskeletal disorders.
Etofibrate,"A lipid-lowering agent from the fibrate class, used to treat dyslipidemia by reducing elevated triglycerides and total cholesterol."
Etravirine,"A non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with other antiretrovirals to treat HIV-1 infection, particularly in treatment-experienced patients."
Ezogabine,"An antiepileptic drug that acts as a neuronal potassium channel opener, used as adjunctive therapy for partial-onset seizures in adults."
Felbamate,An antiepileptic drug primarily used for the treatment of partial seizures and seizures associated with Lennox-Gastaut syndrome.
Fenbufen,"A non-steroidal anti-inflammatory drug (NSAID) used to reduce pain, inflammation, and stiffness, commonly in conditions like rheumatoid arthritis and osteoarthritis."
Fencamfamin,A central nervous system stimulant historically used to combat fatigue and improve alertness. It has also been explored for its anorectic properties.
Fenofibric Acid,"The active metabolite of fenofibrate, used to reduce elevated triglyceride levels and increase HDL-C in patients with primary hypercholesterolemia or mixed dyslipidemia."
Fenoldopam,A selective dopamine D1 receptor agonist used intravenously to treat severe hypertension by inducing vasodilation and promoting natriuresis.
Fenoprofen,"Fenoprofen is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve mild to moderate pain, and to treat signs and symptoms of rheumatoid arthritis and osteoarthritis."
Fenoterol,Fenoterol is a short-acting beta-2 adrenergic receptor agonist used as a bronchodilator to relieve bronchospasm in conditions such as asthma and chronic obstructive pulmonary disease (COPD).
Ferric Pyrophosphate,"Ferric pyrophosphate is an iron salt used as an iron supplement to treat or prevent iron deficiency anemia, often in food fortification or intravenous preparations for chronic kidney disease."
Fesoterodine,"Fesoterodine is an antimuscarinic agent used to treat symptoms of overactive bladder (OAB), such as urinary urgency, frequency, and urge incontinence."
Fidaxomicin,Fidaxomicin is a macrolide antibiotic used specifically for the treatment of Clostridioides difficile infection (CDI) in adults.
Finafloxacin,A fluoroquinolone antibacterial agent used for the treatment of acute otitis externa caused by susceptible strains of Pseudomonas aeruginosa and Staphylococcus aureus.
Fleroxacin,"A broad-spectrum fluoroquinolone antibiotic used to treat various bacterial infections, including those of the respiratory and urinary tracts."
Flibanserin,"A serotonin 1A receptor agonist and 2A receptor antagonist used to treat premenopausal women with acquired, generalized hypoactive sexual desire disorder (HSDD)."
Floctafenine,"A non-steroidal anti-inflammatory drug (NSAID) with analgesic properties, used for the short-term treatment of acute pain."
Floxuridine,"A pyrimidine antimetabolite used as a chemotherapeutic agent, primarily in the palliative treatment of gastrointestinal adenocarcinomas metastatic to the liver."
Flubendazole,"An anthelmintic medication used to treat various parasitic worm infections, including those caused by roundworms, whipworms, and pinworms."
Fluciclovine,A radioactive diagnostic agent used in positron emission tomography (PET) imaging to detect and localize recurrent prostate cancer.
Fludiazepam,"A benzodiazepine derivative with anxiolytic, sedative, and hypnotic properties, used to treat anxiety disorders or insomnia."
Flumethasone,A synthetic corticosteroid used topically to reduce inflammation and itching associated with various skin conditions like eczema or dermatitis.
Flunisolide,A synthetic corticosteroid primarily used as an inhaled medication to manage asthma and as a nasal spray to treat symptoms of allergic rhinitis.
Flunitrazepam,"A potent benzodiazepine derivative with strong sedative-hypnotic, anxiolytic, anticonvulsant, and muscle relaxant properties, historically used for severe insomnia."
Fluocinonide,"A high-potency topical corticosteroid used to reduce inflammation, itching, and redness associated with various dermatoses such as eczema and psoriasis."
Fluocortolone,A moderately potent topical corticosteroid used for the symptomatic treatment of inflammatory skin conditions and in combination products for hemorrhoidal discomfort.
Fluoxymesterone,An anabolic-androgenic steroid used in men for testosterone replacement therapy in cases of deficient endogenous testosterone and sometimes in women for metastatic breast cancer.
Fluprednidene,"A synthetic corticosteroid primarily used topically to alleviate inflammation, redness, and itching associated with various inflammatory and pruritic dermatoses."
Flurandrenolide,"A topical corticosteroid used to reduce inflammation, itching, and redness associated with various skin conditions like eczema and psoriasis."
Fluspirilene,A long-acting injectable first-generation antipsychotic used for the maintenance treatment of chronic schizophrenia.
Fomepizole,An alcohol dehydrogenase inhibitor used as an antidote in the treatment of methanol or ethylene glycol poisoning.
Formestane,An irreversible aromatase inhibitor used in the treatment of estrogen-receptor positive breast cancer in postmenopausal women.
Fosamprenavir,"A prodrug of amprenavir, an antiretroviral protease inhibitor used in combination therapy for the treatment of HIV-1 infection."
Foscarnet,An antiviral agent used for the treatment of cytomegalovirus (CMV) retinitis in AIDS patients and acyclovir-resistant herpes simplex virus (HSV) infections.
Fospropofol,"A prodrug of propofol, it is used for the induction and maintenance of sedation in adult patients undergoing diagnostic or therapeutic procedures."
Frovatriptan,"A selective serotonin 5-HT1B/1D receptor agonist used for the acute treatment of migraine attacks, with or without aura."
Fusafungine,An antibiotic and antifungal agent previously used as a topical treatment for infections of the upper respiratory tract.
Gabapentin Enacarbil,"A prodrug of gabapentin, it is indicated for the treatment of moderate-to-severe primary restless legs syndrome and postherpetic neuralgia."
Gadobenic Acid,A gadolinium-based contrast agent used in magnetic resonance imaging (MRI) to enhance visualization and characterization of focal liver lesions.
Gadoxetic Acid,A gadolinium-based MRI contrast agent primarily used for dynamic and hepatobiliary phase imaging to detect and characterize focal liver lesions.
Gallamine Triethiodide,A non-depolarizing neuromuscular blocking agent used as an adjunct to general anesthesia to induce skeletal muscle relaxation during surgery.
Gallium Nitrate,An antineoplastic agent used to treat symptomatic hypercalcemia of malignancy that is unresponsive to adequate hydration.
Gamma Hydroxybutyric Acid,A central nervous system depressant approved for the treatment of narcolepsy with cataplexy and excessive daytime sleepiness.
Gemeprost,"A prostaglandin E1 analogue used to induce labor or abortion, and to dilate the cervix prior to surgical procedures."
Gestrinone,"A synthetic steroid with antiprogestogenic and androgenic properties, used in the treatment of endometriosis and uterine fibroids."
Glecaprevir,A protease inhibitor used in combination with other direct-acting antivirals for the treatment of chronic hepatitis C virus (HCV) infection.
Gliquidone,An oral sulfonylurea antidiabetic drug used to lower blood glucose levels by stimulating insulin secretion in patients with type 2 diabetes mellitus.
Glisoxepide,An oral sulfonylurea antidiabetic drug used to stimulate insulin release from pancreatic beta cells to lower blood glucose in type 2 diabetes.
Glubionate Anhydrous,"A calcium salt used as a dietary supplement to prevent or treat calcium deficiencies, such as in osteoporosis or hypocalcemia."
Glucoheptonate,"Often found as ferric glucoheptonate, an iron complex administered intravenously for the treatment of iron deficiency anemia in adult patients."
Glutamic Acid,"An amino acid and an excitatory neurotransmitter precursor in the central nervous system, also used as a dietary supplement."
